"Latitude.1" "Longitude.1" "Latitude.2" "Longitude.2"
"331" 41.71469287 -87.60909886 41.895268 -87.743632
"332" 41.90859558 -87.76076524 41.900053 -87.711884
"333" 41.90859558 -87.76076524 41.969939 -87.655234
"334" 41.90859558 -87.76076524 41.76805756 -87.70036901
"335" 41.90859558 -87.76076524 41.81103 -87.748454
"336" 41.90859558 -87.76076524 41.777505 -87.675151
"337" 41.90859558 -87.76076524 41.731334 -87.60935
"338" 41.90859558 -87.76076524 41.651245 -87.548718
"339" 41.90859558 -87.76076524 41.692827 -87.605031
"340" 41.90859558 -87.76076524 41.966048 -87.728164
"341" 41.90859558 -87.76076524 41.898156 -87.719548
"342" 41.761934 -87.643915 41.854405 -87.725233
"343" 41.761934 -87.643915 41.890419 -87.723673
"344" 41.814693 -87.622981 41.801828 -87.630708
"345" 41.909349 -87.652483 41.70149 -87.628424
"346" 41.907849 -87.72469 41.69288447 -87.67609365
"347" 41.907849 -87.72469 41.710602 -87.626286
"348" 41.907849 -87.72469 41.707788 -87.567181
"349" 41.907849 -87.72469 41.69138 -87.701124
"350" 41.742619 -87.651097 41.735969 -87.650916
"351" 41.742619 -87.651097 41.736643 -87.605308
"352" 41.742619 -87.651097 41.703751 -87.625849
"353" 41.742619 -87.651097 41.804643 -87.720068
"354" 41.742619 -87.651097 41.76361378 -87.63004905
"355" 41.742619 -87.651097 41.88074 -87.75272
"356" 41.742619 -87.651097 41.677972 -87.627461
"357" 41.742619 -87.651097 41.689533 -87.628096
"358" 41.742619 -87.651097 41.7867717 -87.64982436
"359" 41.742619 -87.651097 41.743753 -87.602958
"360" 41.742619 -87.651097 41.902004 -87.774913
"361" 41.887 -87.721362 41.711455 -87.534907
"362" 41.887 -87.721362 41.7755 -87.670431
"363" 41.887 -87.721362 41.96565362 -87.64866255
"364" 41.887 -87.721362 41.939639 -87.652608
"365" 41.887 -87.721362 41.89182 -87.717687
"366" 41.887 -87.721362 41.8588604 -87.69121774
"367" 41.887 -87.721362 41.726833 -87.603832
"368" 41.77194037 -87.60048047 41.872089 -87.710868
"369" 41.77194037 -87.60048047 41.769348 -87.614921
"370" 41.77194037 -87.60048047 41.76968445 -87.58373152
"371" 41.77194037 -87.60048047 41.752304 -87.644085
"372" 41.77194037 -87.60048047 41.845614 -87.625326
"373" 41.77194037 -87.60048047 41.766098 -87.582447
"374" 41.77194037 -87.60048047 41.682742 -87.651438
"375" 41.752304 -87.644085 41.735028 -87.656962
"376" 41.752304 -87.644085 41.736643 -87.605308
"377" 41.752304 -87.644085 41.893896 -87.706125
"378" 41.752304 -87.644085 41.893 -87.755528
"379" 41.752304 -87.644085 41.799747 -87.734099
"380" 41.752304 -87.644085 41.723404 -87.62829
"381" 41.752304 -87.644085 41.86339608 -87.72757055
"382" 41.752304 -87.644085 41.677637 -87.636216
"383" 41.752304 -87.644085 41.777633 -87.635855
"384" 41.752304 -87.644085 41.92384046 -87.6799669
"385" 41.752304 -87.644085 41.752304 -87.644085
"386" 41.752304 -87.644085 41.767287 -87.584805
"387" 41.752304 -87.644085 41.813759 -87.693147
"388" 41.752304 -87.644085 41.88225812 -87.74043731
"389" 41.752304 -87.644085 41.748522 -87.64906
"390" 41.752304 -87.644085 41.776468 -87.67285
"391" 41.752304 -87.644085 41.81603 -87.628034
"392" 41.752304 -87.644085 41.838542 -87.730812
"393" 41.752304 -87.644085 41.77261 -87.636236
"394" 41.752304 -87.644085 41.766833 -87.605623
"395" 41.783648 -87.606 41.773968 -87.597273
"396" 41.783648 -87.606 41.780928 -87.670594
"397" 41.783648 -87.606 41.749485 -87.602708
"398" 41.783648 -87.606 41.677611 -87.656519
"399" 41.783648 -87.606 41.891979 -87.68144
"400" 41.783648 -87.606 41.879458 -87.72186
"401" 41.783648 -87.606 41.76834971 -87.68350726
"402" 41.765317 -87.649518 41.7797964 -87.70810192
"403" 41.765317 -87.649518 42.014556 -87.689117
"404" 41.765317 -87.649518 41.775085 -87.656799
"405" 41.765317 -87.649518 41.864616 -87.730268
"406" 41.765317 -87.649518 41.991325 -87.822036
"407" 41.765317 -87.649518 41.729317 -87.607071
"408" 41.765317 -87.649518 41.83974052 -87.65459017
"409" 41.765317 -87.649518 41.83381608 -87.72893896
"410" 41.765317 -87.649518 41.904584 -87.729254
"411" 41.765317 -87.649518 41.66659576 -87.63352945
"412" 41.750514 -87.652527 41.873578 -87.698308
